* Measurement data measured by REW V5.19
* Source: ?ио??? (Umik-1  Gain: 18dB  , MICROPHONE (?б┬??), L, volume: 0.530
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Oct 12, 2021 10:59:11 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 87.4 dB
* Note: focus_l
* Measurement: L
* Smoothing: Variable
* Frequency Step: 0.36621094 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 83.848 -111.5107
20.507812 83.884 -112.4108
20.874023 83.922 -114.2639
21.240234 83.881 -116.9752
21.606445 83.686 -120.1516
21.972656 83.315 -123.1672
22.338867 82.814 -125.4149
22.705078 82.282 -126.6720
23.071289 81.821 -127.2998
23.437500 81.464 -128.0591
23.803711 81.139 -129.5772
24.169922 80.732 -131.9093
24.536133 80.170 -134.5535
24.902344 79.468 -136.9521
25.268555 78.710 -139.1301
25.634766 77.957 -142.0165
26.000977 77.122 -147.2372
26.367188 75.951 -156.0526
26.733398 74.115 -170.2269
27.099609 71.339 164.3483
27.465820 67.984 123.1740
27.832031 66.718 77.0526
28.198242 68.489 46.8638
28.564453 71.569 39.6676
28.930664 75.784 43.1375
29.296875 80.053 43.1693
29.663086 83.621 35.5571
30.029297 86.365 22.6899
30.395508 88.343 7.5075
30.761719 89.624 -8.3447
31.127930 90.262 -23.8643
31.494141 90.291 -38.0496
31.860352 89.755 -49.5368
32.226562 88.770 -56.4548
32.592773 87.667 -57.4799
32.958984 87.086 -53.8437
33.325195 87.441 -49.4504
33.691406 88.340 -47.9371
34.057617 89.210 -50.0680
34.423828 89.812 -54.3185
34.790039 90.147 -58.9685
35.156250 90.301 -63.1725
35.522461 90.351 -66.8552
35.888672 90.310 -70.2153
36.254883 90.133 -73.1864
36.621094 89.779 -75.0718
36.987305 89.299 -74.7194
37.353516 88.923 -71.4536
37.719727 89.006 -66.1281
38.085938 89.693 -60.9695
38.452148 90.730 -58.0100
38.818359 91.787 -57.7357
39.184570 92.707 -59.2581
39.550781 93.505 -61.4337
39.916992 94.270 -63.7071
40.283203 95.081 -66.2552
40.649414 95.936 -69.6472
41.015625 96.761 -74.3656
41.381836 97.456 -80.4965
41.748047 97.948 -87.7194
42.114258 98.198 -95.4797
42.480469 98.203 -103.1743
42.846680 97.988 -110.2791
43.212891 97.600 -116.4349
43.579102 97.094 -121.4962
43.945312 96.520 -125.5089
44.311523 95.906 -128.5940
44.677734 95.256 -130.7780
45.043945 94.570 -131.8842
45.410156 93.873 -131.6036
45.776367 93.246 -129.7586
46.142578 92.812 -126.5893
46.508789 92.669 -122.7985
46.875000 92.824 -119.2651
47.241211 93.194 -116.6534
47.607422 93.675 -115.2316
47.973633 94.189 -114.9688
48.339844 94.689 -115.7250
48.706055 95.143 -117.3557
49.072266 95.525 -119.7114
49.438477 95.816 -122.6082
49.804688 96.005 -125.8270
50.170898 96.093 -129.1438
50.537109 96.092 -132.3705
50.903320 96.018 -135.3804
51.269531 95.892 -138.1082
51.635742 95.730 -140.5297
52.001953 95.547 -142.6389
52.368164 95.359 -144.4428
52.734375 95.184 -145.9767
53.100586 95.039 -147.3281
53.466797 94.932 -148.6405
53.833008 94.863 -150.0807
54.199219 94.811 -151.7823
54.565430 94.750 -153.7941
54.931641 94.653 -156.0615
55.297852 94.501 -158.4467
55.664062 94.284 -160.7686
56.030273 94.005 -162.8441
56.396484 93.677 -164.5193
56.762695 93.321 -165.6932
57.128906 92.962 -166.3358
57.495117 92.627 -166.5016
57.861328 92.336 -166.3209
58.227539 92.095 -165.9576
58.593750 91.895 -165.5427
58.959961 91.717 -165.1161
59.326172 91.547 -164.6170
59.692383 91.385 -163.9363
60.058594 91.249 -163.0054
60.424805 91.165 -161.8679
60.791016 91.152 -160.6860
61.157227 91.212 -159.6783
61.523438 91.325 -159.0273
61.889648 91.460 -158.8169
62.255859 91.590 -159.0231
62.622070 91.697 -159.5534
62.988281 91.774 -160.2964
63.354492 91.822 -161.1601
63.720703 91.845 -162.0876
64.086914 91.847 -163.0554
64.453125 91.829 -164.0577
64.819336 91.789 -165.0847
65.185547 91.724 -166.1033
65.551758 91.632 -167.0538
65.917969 91.518 -167.8670
66.284180 91.393 -168.4989
66.650391 91.271 -168.9612
67.016602 91.162 -169.3259
67.382812 91.067 -169.6934
67.749023 90.975 -170.1369
68.115234 90.872 -170.6583
68.481445 90.745 -171.1835
68.847656 90.592 -171.6030
69.213867 90.424 -171.8329
69.580078 90.256 -171.8613
69.946289 90.103 -171.7498
70.312500 89.966 -171.5898
70.678711 89.839 -171.4413
71.044922 89.711 -171.2952
71.411133 89.574 -171.0811
71.777344 89.434 -170.7173
72.143555 89.305 -170.1723
72.509766 89.205 -169.4982
72.875977 89.141 -168.8150
73.242188 89.108 -168.2536
73.608398 89.086 -167.8898
73.974609 89.053 -167.7045
74.340820 88.994 -167.5926
74.707031 88.906 -167.4131
75.073242 88.799 -167.0552
75.439453 88.691 -166.4865
75.805664 88.598 -165.7593
76.171875 88.525 -164.9730
76.538086 88.465 -164.2119
76.904297 88.404 -163.4947
77.270508 88.329 -162.7614
77.636719 88.238 -161.9036
78.002930 88.139 -160.8204
78.369141 88.051 -159.4694
78.735352 87.994 -157.8899
79.101562 87.984 -156.1885
79.467773 88.021 -154.4973
79.833984 88.099 -152.9269
80.200195 88.202 -151.5366
80.566406 88.315 -150.3281
80.932617 88.429 -149.2630
81.298828 88.538 -148.2873
81.665039 88.642 -147.3500
82.031250 88.742 -146.4087
82.397461 88.841 -145.4245
82.763672 88.944 -144.3573
83.129883 89.059 -143.1711
83.496094 89.200 -141.8535
83.862305 89.383 -140.4382
84.228516 89.619 -139.0152
84.594727 89.911 -137.7133
84.960938 90.249 -136.6642
85.327148 90.618 -135.9637
85.693359 90.997 -135.6523
86.059570 91.372 -135.7214
86.425781 91.731 -136.1356
86.791992 92.065 -136.8512
87.158203 92.367 -137.8207
87.524414 92.631 -138.9830
87.890625 92.850 -140.2539
88.256836 93.026 -141.5271
88.623047 93.167 -142.6945
88.989258 93.286 -143.6765
89.355469 93.403 -144.4487
89.721680 93.535 -145.0513
90.087891 93.694 -145.5743
90.454102 93.881 -146.1290
90.820312 94.091 -146.8148
91.186523 94.312 -147.6986
91.552734 94.531 -148.8083
91.918945 94.736 -150.1370
92.285156 94.918 -151.6489
92.651367 95.071 -153.2885
93.017578 95.191 -154.9866
93.383789 95.281 -156.6744
93.750000 95.347 -158.2977
94.116211 95.397 -159.8316
94.482422 95.438 -161.2850
94.848633 95.477 -162.6942
95.214844 95.512 -164.1045
95.581055 95.540 -165.5505
95.947266 95.555 -167.0426
96.313477 95.551 -168.5663
96.679688 95.524 -170.0892
97.045898 95.473 -171.5732
97.412109 95.397 -172.9818
97.778320 95.300 -174.2829
98.144531 95.182 -175.4465
98.510742 95.048 -176.4425
98.876953 94.901 -177.2433
99.243164 94.747 -177.8281
99.609375 94.595 -178.1898
99.975586 94.451 -178.3380
100.341797 94.324 -178.2980
100.708008 94.220 -178.1081
101.074219 94.143 -177.8121
101.440430 94.095 -177.4535
101.806641 94.075 -177.0728
102.172852 94.082 -176.7075
102.539062 94.115 -176.3928
102.905273 94.170 -176.1597
103.271484 94.241 -176.0331
103.637695 94.324 -176.0278
104.003906 94.412 -176.1459
104.370117 94.500 -176.3762
104.736328 94.585 -176.6971
105.102539 94.665 -177.0820
105.468750 94.740 -177.5054
105.834961 94.812 -177.9503
106.201172 94.885 -178.4106
106.567383 94.959 -178.8920
106.933594 95.035 -179.4085
107.299805 95.114 -179.9764
107.666016 95.191 179.3915
108.032227 95.265 178.6918
108.398438 95.332 177.9310
108.764648 95.389 177.1253
109.130859 95.435 176.2968
109.497070 95.471 175.4684
109.863281 95.499 174.6600
110.229492 95.521 173.8839
110.595703 95.541 173.1425
110.961914 95.563 172.4279
111.328125 95.588 171.7230
111.694336 95.617 171.0054
112.060547 95.650 170.2524
112.426758 95.684 169.4465
112.792969 95.716 168.5803
113.159180 95.743 167.6570
113.525391 95.764 166.6896
113.891602 95.776 165.6959
114.257812 95.782 164.6937
114.624023 95.782 163.6949
114.990234 95.780 162.7024
115.356445 95.778 161.7096
115.722656 95.777 160.7012
116.088867 95.779 159.6568
116.455078 95.781 158.5560
116.821289 95.782 157.3829
117.187500 95.778 156.1308
117.553711 95.763 154.8047
117.919922 95.736 153.4203
118.286133 95.694 152.0010
118.652344 95.636 150.5721
119.018555 95.564 149.1559
119.384766 95.477 147.7676
119.750977 95.380 146.4149
120.117188 95.272 145.1003
120.483398 95.154 143.8244
120.849609 95.028 142.5894
121.215820 94.891 141.4022
121.582031 94.745 140.2743
121.948242 94.589 139.2205
122.314453 94.425 138.2568
122.680664 94.255 137.3967
123.046875 94.083 136.6485
123.413086 93.911 136.0118
123.779297 93.746 135.4768
124.145508 93.589 135.0240
124.511719 93.446 134.6274
124.877930 93.317 134.2582
125.244141 93.202 133.8898
125.610352 93.099 133.5008
125.976562 93.006 133.0775
126.342773 92.921 132.6129
126.708984 92.841 132.1057
127.075195 92.765 131.5579
127.441406 92.690 130.9733
127.807617 92.616 130.3553
128.173828 92.542 129.7063
128.540039 92.468 129.0267
128.906250 92.394 128.3148
129.272461 92.319 127.5678
129.638672 92.242 126.7830
130.004883 92.163 125.9590
130.371094 92.079 125.0972
130.737305 91.991 124.2007
131.103516 91.896 123.2748
131.469727 91.794 122.3251
131.835938 91.685 121.3572
132.202148 91.568 120.3772
132.568359 91.443 119.3909
132.934570 91.311 118.4040
133.300781 91.172 117.4214
133.666992 91.026 116.4460
134.033203 90.875 115.4774
134.399414 90.720 114.5114
134.765625 90.561 113.5410
135.131836 90.399 112.5578
135.498047 90.234 111.5544
135.864258 90.063 110.5266
136.230469 89.887 109.4740
136.596680 89.703 108.4011
136.962891 89.510 107.3154
137.329102 89.307 106.2269
137.695312 89.094 105.1459
138.061523 88.869 104.0819
138.427734 88.634 103.0438
138.793945 88.387 102.0391
139.160156 88.130 101.0749
139.526367 87.863 100.1575
139.892578 87.585 99.2928
140.258789 87.298 98.4857
140.625000 87.003 97.7394
140.991211 86.699 97.0556
141.357422 86.388 96.4338
141.723633 86.071 95.8720
142.089844 85.749 95.3670
142.456055 85.423 94.9150
142.822266 85.092 94.5125
143.188477 84.758 94.1560
143.554688 84.420 93.8437
143.920898 84.079 93.5751
144.287109 83.734 93.3520
144.653320 83.384 93.1780
145.019531 83.030 93.0589
145.385742 82.671 93.0015
145.751953 82.308 93.0129
146.118164 81.939 93.0993
146.484375 81.567 93.2646
146.850586 81.192 93.5090
147.216797 80.816 93.8284
147.583008 80.441 94.2137
147.949219 80.069 94.6505
148.315430 79.702 95.1200
148.681641 79.342 95.5991
149.047852 78.991 96.0623
149.414062 78.649 96.4826
149.780273 78.317 96.8329
150.146484 77.995 97.0875
150.512695 77.679 97.2225
150.878906 77.370 97.2173
151.245117 77.062 97.0546
151.611328 76.754 96.7203
151.977539 76.441 96.2034
152.343750 76.120 95.4943
152.709961 75.789 94.5837
153.076172 75.444 93.4611
153.442383 75.083 92.1124
153.808594 74.707 90.5195
154.174805 74.314 88.6596
154.541016 73.905 86.5051
154.907227 73.483 84.0250
155.273438 73.050 81.1867
155.639648 72.611 77.9584
156.005859 72.173 74.3122
156.372070 71.746 70.2280
156.738281 71.342 65.6973
157.104492 70.976 60.7263
157.470703 70.667 55.3384
157.836914 70.434 49.5753
158.203125 70.298 43.4954
158.569336 70.273 37.1710
158.935547 70.369 30.6838
159.301758 70.584 24.1199
159.667969 70.909 17.5640
160.034180 71.326 11.0949
160.400391 71.814 4.7823
