* Measurement data measured by REW V5.20.3
* Source: Trace Arithmetic result A / B
* Format: Trace Arithmetic result A / B
* Dated: Oct 14, 2021 5:19:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Excess phase copy of Vector average Cal file effects included No LF tail No HF tail
* Measurement: Vector average-EP
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 2.1972656 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
2.197266 0.010 0.0035
2.563477 0.010 0.0040
2.929688 0.010 0.0044
3.295898 0.010 0.0047
3.662109 0.010 0.0049
4.028320 0.010 0.0051
4.394531 0.010 0.0053
4.760742 0.010 0.0054
5.126953 0.010 0.0054
5.493164 0.010 0.0054
5.859375 0.010 0.0055
6.225586 0.010 0.0054
6.591797 0.010 0.0055
6.958008 0.010 0.0055
7.324219 0.010 0.0056
7.690430 0.010 0.0057
8.056641 0.010 0.0059
8.422852 0.010 0.0061
8.789062 0.010 0.0064
9.155273 0.010 0.0068
9.521484 0.010 0.0073
9.887695 0.010 0.0079
10.253906 0.010 0.0085
10.620117 0.010 0.0093
10.986328 0.010 0.0100
11.352539 0.010 0.0109
11.718750 0.010 0.0117
12.084961 0.010 0.0126
12.451172 0.010 0.0135
12.817383 0.010 0.0143
13.183594 0.010 0.0151
13.549805 0.010 0.0159
13.916016 0.010 0.0165
14.282227 0.010 0.0171
14.648438 0.010 0.0175
15.014648 0.010 0.0177
15.380859 0.010 0.0178
15.747070 0.010 0.0177
16.113281 0.010 0.0175
16.479492 0.010 0.0170
16.845703 0.010 0.0164
17.211914 0.010 0.0155
17.578125 0.010 0.0145
17.944336 0.010 0.0133
18.310547 0.010 0.0120
18.676758 0.010 0.0105
19.042969 0.010 0.0089
19.409180 0.010 0.0073
19.775391 0.010 0.0055
20.141602 0.010 0.0037
20.507812 0.010 0.0020
20.874023 0.010 0.0003
21.240234 0.010 -0.0014
21.606445 0.010 -0.0030
21.972656 0.010 -0.0045
22.338867 0.010 -0.0059
22.705078 0.010 -0.0071
23.071289 0.010 -0.0082
23.437500 0.010 -0.0091
23.803711 0.010 -0.0098
24.169922 0.010 -0.0103
24.536133 0.010 -0.0106
24.902344 0.010 -0.0107
25.268555 0.010 -0.0107
25.634766 0.010 -0.0105
26.000977 0.010 -0.0102
26.367188 0.010 -0.0097
26.733398 0.010 -0.0091
27.099609 0.010 -0.0085
27.465820 0.010 -0.0078
27.832031 0.010 -0.0070
28.198242 0.010 -0.0063
28.564453 0.010 -0.0055
28.930664 0.010 -0.0048
29.296875 0.010 -0.0041
29.663086 0.010 -0.0035
30.029297 0.010 -0.0030
30.395508 0.010 -0.0025
30.761719 0.010 -0.0022
31.127930 0.010 -0.0019
31.494141 0.010 -0.0017
31.860352 0.010 -0.0017
32.226562 0.010 -0.0017
32.592773 0.010 -0.0018
32.958984 0.010 -0.0019
33.325195 0.010 -0.0022
33.691406 0.010 -0.0024
34.057617 0.010 -0.0027
34.423828 0.010 -0.0031
34.790039 0.010 -0.0034
35.156250 0.010 -0.0037
35.522461 0.010 -0.0041
35.888672 0.010 -0.0044
36.254883 0.010 -0.0046
36.621094 0.010 -0.0049
36.987305 0.010 -0.0051
37.353516 0.010 -0.0052
37.719727 0.010 -0.0054
38.085938 0.010 -0.0054
38.452148 0.010 -0.0055
38.818359 0.010 -0.0055
39.184570 0.010 -0.0056
39.550781 0.010 -0.0056
39.916992 0.010 -0.0056
40.283203 0.010 -0.0056
40.649414 0.010 -0.0056
41.015625 0.010 -0.0057
41.381836 0.010 -0.0058
41.748047 0.010 -0.0059
42.114258 0.010 -0.0061
42.480469 0.010 -0.0063
42.846680 0.010 -0.0065
43.212891 0.010 -0.0068
43.579102 0.010 -0.0072
43.945312 0.010 -0.0075
44.311523 0.010 -0.0079
44.677734 0.010 -0.0083
45.043945 0.010 -0.0087
45.410156 0.010 -0.0091
45.776367 0.010 -0.0095
46.142578 0.010 -0.0099
46.508789 0.010 -0.0102
46.875000 0.010 -0.0105
47.241211 0.010 -0.0107
47.607422 0.010 -0.0109
47.973633 0.010 -0.0110
48.339844 0.010 -0.0110
48.706055 0.010 -0.0109
49.072266 0.010 -0.0108
49.438477 0.010 -0.0106
49.804688 0.010 -0.0103
50.170898 0.010 -0.0099
50.537109 0.010 -0.0094
50.903320 0.010 -0.0089
51.269531 0.010 -0.0083
51.635742 0.010 -0.0077
52.001953 0.010 -0.0070
52.368164 0.010 -0.0063
52.734375 0.010 -0.0056
53.100586 0.010 -0.0049
53.466797 0.010 -0.0042
53.833008 0.010 -0.0035
54.199219 0.010 -0.0028
54.565430 0.010 -0.0022
54.931641 0.010 -0.0016
55.297852 0.010 -0.0011
55.664062 0.010 -0.0006
56.030273 0.010 -0.0002
56.396484 0.010 0.0002
56.762695 0.010 0.0005
57.128906 0.010 0.0008
57.495117 0.010 0.0010
57.861328 0.010 0.0011
58.227539 0.010 0.0012
58.593750 0.010 0.0013
58.959961 0.010 0.0013
59.326172 0.010 0.0012
59.692383 0.010 0.0012
60.058594 0.010 0.0011
60.424805 0.010 0.0010
60.791016 0.010 0.0008
61.157227 0.010 0.0007
61.523438 0.010 0.0006
61.889648 0.010 0.0005
62.255859 0.010 0.0004
62.622070 0.010 0.0003
62.988281 0.010 0.0002
63.354492 0.010 0.0001
63.720703 0.010 0.0001
64.086914 0.010 0.0000
64.453125 0.010 0.0000
64.819336 0.010 0.0000
65.185547 0.010 0.0000
65.551758 0.010 0.0001
65.917969 0.010 0.0001
66.284180 0.010 0.0002
66.650391 0.010 0.0002
67.016602 0.010 0.0003
67.382812 0.010 0.0003
67.749023 0.010 0.0004
68.115234 0.010 0.0005
68.481445 0.010 0.0005
68.847656 0.010 0.0006
69.213867 0.010 0.0006
69.580078 0.010 0.0007
69.946289 0.010 0.0007
70.312500 0.010 0.0007
70.678711 0.010 0.0007
71.044922 0.010 0.0007
71.411133 0.010 0.0006
71.777344 0.010 0.0006
72.143555 0.010 0.0006
72.509766 0.010 0.0005
72.875977 0.010 0.0004
73.242188 0.010 0.0004
73.608398 0.010 0.0003
73.974609 0.010 0.0002
74.340820 0.010 0.0001
74.707031 0.010 0.0000
75.073242 0.010 -0.0000
75.439453 0.010 -0.0001
75.805664 0.010 -0.0002
76.171875 0.010 -0.0003
76.538086 0.010 -0.0004
76.904297 0.010 -0.0005
77.270508 0.010 -0.0006
77.636719 0.010 -0.0006
78.002930 0.010 -0.0007
78.369141 0.010 -0.0007
78.735352 0.010 -0.0008
79.101562 0.010 -0.0008
79.467773 0.010 -0.0009
79.833984 0.010 -0.0009
80.200195 0.010 -0.0009
80.566406 0.010 -0.0010
80.932617 0.010 -0.0010
81.298828 0.010 -0.0010
81.665039 0.010 -0.0010
82.031250 0.010 -0.0010
82.397461 0.010 -0.0009
82.763672 0.010 -0.0009
83.129883 0.010 -0.0009
83.496094 0.010 -0.0008
83.862305 0.010 -0.0008
84.228516 0.010 -0.0007
84.594727 0.010 -0.0006
84.960938 0.010 -0.0006
85.327148 0.010 -0.0005
85.693359 0.010 -0.0004
86.059570 0.010 -0.0003
86.425781 0.010 -0.0002
86.791992 0.010 -0.0000
87.158203 0.010 0.0001
87.524414 0.010 0.0002
87.890625 0.010 0.0003
88.256836 0.010 0.0004
88.623047 0.010 0.0005
88.989258 0.010 0.0006
89.355469 0.010 0.0007
89.721680 0.010 0.0008
90.087891 0.010 0.0008
90.454102 0.010 0.0008
90.820312 0.010 0.0009
91.186523 0.010 0.0009
91.552734 0.010 0.0009
91.918945 0.010 0.0008
92.285156 0.010 0.0008
92.651367 0.010 0.0007
93.017578 0.010 0.0006
93.383789 0.010 0.0004
93.750000 0.010 0.0003
94.116211 0.010 0.0001
94.482422 0.010 -0.0001
94.848633 0.010 -0.0003
95.214844 0.010 -0.0005
95.581055 0.010 -0.0007
95.947266 0.010 -0.0010
96.313477 0.010 -0.0012
96.679688 0.010 -0.0014
97.045898 0.010 -0.0017
97.412109 0.010 -0.0019
97.778320 0.010 -0.0022
98.144531 0.010 -0.0024
98.510742 0.010 -0.0026
98.876953 0.010 -0.0028
99.243164 0.010 -0.0030
99.609375 0.010 -0.0032
99.975586 0.010 -0.0033
100.341797 0.010 -0.0035
100.708008 0.010 -0.0036
101.074219 0.010 -0.0038
101.440430 0.010 -0.0039
101.806641 0.010 -0.0040
102.172852 0.010 -0.0042
102.539062 0.010 -0.0043
102.905273 0.010 -0.0044
103.271484 0.010 -0.0045
103.637695 0.010 -0.0046
104.003906 0.010 -0.0048
104.370117 0.010 -0.0049
104.736328 0.010 -0.0051
105.102539 0.010 -0.0053
105.468750 0.010 -0.0054
105.834961 0.010 -0.0057
106.201172 0.010 -0.0059
106.567383 0.010 -0.0062
106.933594 0.010 -0.0065
107.299805 0.010 -0.0068
107.666016 0.010 -0.0071
108.032227 0.010 -0.0075
108.398438 0.010 -0.0078
108.764648 0.010 -0.0082
109.130859 0.010 -0.0086
109.497070 0.010 -0.0090
109.863281 0.010 -0.0095
110.229492 0.010 -0.0099
110.595703 0.010 -0.0103
110.961914 0.010 -0.0108
111.328125 0.010 -0.0112
111.694336 0.010 -0.0116
112.060547 0.010 -0.0120
112.426758 0.010 -0.0124
112.792969 0.010 -0.0128
113.159180 0.010 -0.0132
113.525391 0.010 -0.0135
113.891602 0.010 -0.0139
114.257812 0.010 -0.0142
114.624023 0.010 -0.0145
114.990234 0.010 -0.0148
115.356445 0.010 -0.0150
115.722656 0.010 -0.0153
116.088867 0.010 -0.0155
116.455078 0.010 -0.0157
116.821289 0.010 -0.0158
117.187500 0.010 -0.0160
117.553711 0.010 -0.0161
117.919922 0.010 -0.0163
118.286133 0.010 -0.0164
118.652344 0.010 -0.0165
119.018555 0.010 -0.0165
119.384766 0.010 -0.0166
119.750977 0.010 -0.0167
120.117188 0.010 -0.0167
120.483398 0.010 -0.0167
120.849609 0.010 -0.0167
121.215820 0.010 -0.0168
121.582031 0.010 -0.0168
121.948242 0.010 -0.0168
122.314453 0.010 -0.0168
122.680664 0.010 -0.0168
123.046875 0.010 -0.0167
123.413086 0.010 -0.0167
123.779297 0.010 -0.0167
124.145508 0.010 -0.0167
124.511719 0.010 -0.0167
124.877930 0.010 -0.0166
125.244141 0.010 -0.0166
125.610352 0.010 -0.0165
125.976562 0.010 -0.0165
126.342773 0.010 -0.0164
126.708984 0.010 -0.0164
127.075195 0.010 -0.0163
127.441406 0.010 -0.0163
127.807617 0.010 -0.0163
128.173828 0.010 -0.0162
128.540039 0.010 -0.0162
128.906250 0.010 -0.0162
129.272461 0.010 -0.0161
129.638672 0.010 -0.0161
130.004883 0.010 -0.0161
130.371094 0.010 -0.0161
130.737305 0.010 -0.0161
131.103516 0.010 -0.0161
131.469727 0.010 -0.0162
131.835938 0.010 -0.0162
132.202148 0.010 -0.0162
132.568359 0.010 -0.0163
132.934570 0.010 -0.0164
133.300781 0.010 -0.0164
133.666992 0.010 -0.0165
134.033203 0.010 -0.0166
134.399414 0.010 -0.0167
134.765625 0.010 -0.0168
135.131836 0.010 -0.0169
135.498047 0.010 -0.0169
135.864258 0.010 -0.0170
136.230469 0.010 -0.0171
136.596680 0.010 -0.0172
136.962891 0.010 -0.0173
137.329102 0.010 -0.0174
137.695312 0.010 -0.0174
138.061523 0.010 -0.0175
138.427734 0.010 -0.0176
138.793945 0.010 -0.0177
139.160156 0.010 -0.0177
139.526367 0.010 -0.0178
139.892578 0.010 -0.0179
140.258789 0.010 -0.0179
140.625000 0.010 -0.0180
140.991211 0.010 -0.0180
141.357422 0.010 -0.0180
141.723633 0.010 -0.0181
142.089844 0.010 -0.0181
142.456055 0.010 -0.0181
142.822266 0.010 -0.0182
143.188477 0.010 -0.0182
143.554688 0.010 -0.0182
143.920898 0.010 -0.0182
144.287109 0.010 -0.0182
144.653320 0.010 -0.0182
145.019531 0.010 -0.0182
145.385742 0.010 -0.0182
145.751953 0.010 -0.0182
146.118164 0.010 -0.0182
146.484375 0.010 -0.0182
146.850586 0.010 -0.0182
147.216797 0.010 -0.0182
147.583008 0.010 -0.0182
147.949219 0.010 -0.0181
148.315430 0.010 -0.0181
